,brief,full
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR,Prostacyclin signalling through prostacyclin receptor, 
REACTOME_PROSTANOID_LIGAND_RECEPTORS,Prostanoid ligand receptors, 
REACTOME_PROTEIN_FOLDING,Protein folding, 
REACTOME_PROTEIN_LOCALIZATION,Protein localization, 
REACTOME_PROTEIN_METHYLATION,Protein methylation, 
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,Protein-protein interactions at synapses, 
REACTOME_PROTEIN_REPAIR,Protein repair, 
REACTOME_PROTEIN_UBIQUITINATION,Protein ubiquitination, 
REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT,Proton-coupled monocarboxylate transport, 
REACTOME_PTEN_REGULATION,PTEN Regulation, 
REACTOME_PTK6_EXPRESSION,PTK6 Expression, 
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,PTK6 promotes HIF1A stabilization, 
REACTOME_PTK6_REGULATES_CELL_CYCLE,PTK6 Regulates Cell Cycle, 
REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING,PTK6 Regulates Proteins Involved in RNA Processing, 
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases", 
REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1, 
REACTOME_PURINE_CATABOLISM,Purine catabolism, 
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS,Purine ribonucleoside monophosphate biosynthesis, 
REACTOME_PURINE_SALVAGE,Purine salvage, 
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION,Purinergic signaling in leishmaniasis infection, 
REACTOME_PYRIMIDINE_CATABOLISM,Pyrimidine catabolism, 
REACTOME_PYRIMIDINE_SALVAGE,Pyrimidine salvage, 
REACTOME_PYROPTOSIS,Pyroptosis, 
REACTOME_PYRUVATE_METABOLISM,Pyruvate metabolism, 
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,Pyruvate metabolism and Citric Acid (TCA) cycle, 
REACTOME_RA_BIOSYNTHESIS_PATHWAY,RA biosynthesis pathway, 
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS,RAB GEFs exchange GTP for GDP on RABs, 
REACTOME_RAB_GERANYLGERANYLATION,RAB geranylgeranylation, 
REACTOME_RAB_REGULATION_OF_TRAFFICKING,Rab regulation of trafficking, 
REACTOME_RAC1_GTPASE_CYCLE,RAC1 GTPase cycle, 
REACTOME_RAC2_GTPASE_CYCLE,RAC2 GTPase cycle, 
REACTOME_RAC3_GTPASE_CYCLE,RAC3 GTPase cycle, 
REACTOME_RAF_ACTIVATION,RAF activation, 
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION,RAF-independent MAPK1/3 activation, 
REACTOME_RAP1_SIGNALLING,Rap1 signalling, 
REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR,Ras activation upon Ca2+ influx through NMDA receptor, 
REACTOME_RAS_PROCESSING,RAS processing, 
REACTOME_RAS_SIGNALING_DOWNSTREAM_OF_NF1_LOSS_OF_FUNCTION_VARIANTS,RAS signaling downstream of NF1 loss-of-function variants, 
REACTOME_REACTIONS_SPECIFIC_TO_THE_COMPLEX_N_GLYCAN_SYNTHESIS_PATHWAY,Reactions specific to the complex N-glycan synthesis pathway, 
REACTOME_RECEPTOR_MEDIATED_MITOPHAGY,Receptor Mediated Mitophagy, 
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES,Receptor-type tyrosine-protein phosphatases, 
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,Recognition and association of DNA glycosylase with site containing an affected purine, 
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,Recognition of DNA damage by PCNA-containing replication complex, 
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES,Recruitment of mitotic centrosome proteins and complexes, 
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,Recruitment of NuMA to mitotic centrosomes, 
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,Recycling of bile acids and salts, 
REACTOME_RECYCLING_OF_EIF2_GDP,Recycling of eIF2:GDP, 
REACTOME_RECYCLING_PATHWAY_OF_L1,Recycling pathway of L1, 
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS,Reduction of cytosolic Ca++ levels, 
REACTOME_REELIN_SIGNALLING_PATHWAY,Reelin signalling pathway, 
REACTOME_REGULATED_NECROSIS,Regulated Necrosis, 
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR,Regulated proteolysis of p75NTR, 
REACTOME_REGULATION_BY_C_FLIP,Regulation by c-FLIP, 
REACTOME_REGULATION_OF_BACH1_ACTIVITY,Regulation of BACH1 activity, 
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,Regulation of beta-cell development, 
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,Regulation of cholesterol biosynthesis by SREBP (SREBF), 
REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO,Regulation of commissural axon pathfinding by SLIT and ROBO, 
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components, 
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,Regulation of expression of SLITs and ROBOs, 
REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION,Regulation of FOXO transcriptional activity by acetylation, 
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION,Regulation of FZD by ubiquitination, 
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,Regulation of gene expression by Hypoxia-inducible Factor, 
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,Regulation of gene expression in beta cells, 
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS,Regulation of gene expression in early pancreatic precursor cells, 
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells, 
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells, 
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN,Regulation of Glucokinase by Glucokinase Regulatory Protein, 
REACTOME_REGULATION_OF_GLYCOLYSIS_BY_FRUCTOSE_2_6_BISPHOSPHATE_METABOLISM,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism", 
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,Regulation of HMOX1 expression and activity, 
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,Regulation of HSF1-mediated heat shock response, 
REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING,Regulation of IFNA/IFNB signaling, 
REACTOME_REGULATION_OF_IFNG_SIGNALING,Regulation of IFNG signaling, 
REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA,Regulation of innate immune responses to cytosolic DNA, 
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs), 
REACTOME_REGULATION_OF_INSULIN_SECRETION,Regulation of insulin secretion, 
REACTOME_REGULATION_OF_KIT_SIGNALING,Regulation of KIT signaling, 
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Regulation of lipid metabolism by PPARalpha, 
REACTOME_REGULATION_OF_LOCALIZATION_OF_FOXO_TRANSCRIPTION_FACTORS,Regulation of localization of FOXO transcription factors, 
REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY,Regulation of MECP2 expression and activity, 
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,Regulation of mRNA stability by proteins that bind AU-rich elements, 
REACTOME_REGULATION_OF_NF_KAPPA_B_SIGNALING,Regulation of NF-kappa B signaling, 
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,Regulation of PLK1 Activity at G2/M Transition, 
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION,Regulation of PTEN gene transcription, 
REACTOME_REGULATION_OF_PTEN_LOCALIZATION,Regulation of PTEN localization, 
REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION,Regulation of PTEN mRNA translation, 
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,Regulation of PTEN stability and activity, 
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX,Regulation of pyruvate dehydrogenase (PDH) complex, 
REACTOME_REGULATION_OF_RAS_BY_GAPS,Regulation of RAS by GAPs, 
REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY,Regulation of RUNX1 Expression and Activity, 
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,Regulation of RUNX2 expression and activity, 
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY,Regulation of RUNX3 expression and activity, 
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,Regulation of signaling by CBL, 
REACTOME_REGULATION_OF_SIGNALING_BY_NODAL,Regulation of signaling by NODAL, 
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,Regulation of TLR by endogenous ligand, 
REACTOME_REGULATION_OF_TNFR1_SIGNALING,Regulation of TNFR1 signaling, 
REACTOME_REGULATION_OF_TP53_ACTIVITY,Regulation of TP53 Activity, 
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION,Regulation of TP53 Activity through Acetylation, 
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS,Regulation of TP53 Activity through Association with Co-factors, 
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION,Regulation of TP53 Activity through Methylation, 
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION,Regulation of TP53 Activity through Phosphorylation, 
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION,Regulation of TP53 Expression and Degradation, 
REACTOME_RELAXIN_RECEPTORS,Relaxin receptors, 
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,Release of apoptotic factors from the mitochondria, 
REACTOME_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL,Release of Hh-Np from the secreting cell, 
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS,Removal of aminoterminal propeptides from gamma-carboxylated proteins, 
REACTOME_REPRESSION_OF_WNT_TARGET_GENES,Repression of WNT target genes, 
REACTOME_REPRODUCTION,Reproduction, 
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,Resolution of Abasic Sites (AP sites), 
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,Resolution of AP sites via the multiple-nucleotide patch replacement pathway, 
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES,Resolution of D-Loop Structures, 
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA), 
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,Resolution of Sister Chromatid Cohesion, 
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,Respiratory electron transport, 
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.", 
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,Response of EIF2AK1 (HRI) to heme deficiency, 
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Response of EIF2AK4 (GCN2) to amino acid deficiency, 
REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS,Response of Mtb to phagocytosis, 
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,Response to elevated platelet cytosolic Ca2+, 
REACTOME_RESPONSE_TO_METAL_IONS,Response to metal ions, 
REACTOME_RET_SIGNALING,RET signaling, 
REACTOME_RETINOID_CYCLE_DISEASE_EVENTS,Retinoid cycle disease events, 
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING,Retrograde neurotrophin signalling, 
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,Retrograde transport at the Trans-Golgi-Network, 
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE,Reversible hydration of carbon dioxide, 
REACTOME_RHO_GTPASE_CYCLE,RHO GTPase cycle, 
REACTOME_RHO_GTPASE_EFFECTORS,RHO GTPase Effectors, 
REACTOME_RHO_GTPASES_ACTIVATE_CIT,RHO GTPases activate CIT, 
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,RHO GTPases Activate Formins, 
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,RHO GTPases activate IQGAPs, 
REACTOME_RHO_GTPASES_ACTIVATE_KTN1,RHO GTPases activate KTN1, 
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,RHO GTPases Activate NADPH Oxidases, 
REACTOME_RHO_GTPASES_ACTIVATE_PAKS,RHO GTPases activate PAKs, 
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,RHO GTPases activate PKNs, 
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS,RHO GTPases Activate Rhotekin and Rhophilins, 
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,RHO GTPases Activate ROCKs, 
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,RHO GTPases Activate WASPs and WAVEs, 
REACTOME_RHOA_GTPASE_CYCLE,RHOA GTPase cycle, 
REACTOME_RHOB_GTPASE_CYCLE,RHOB GTPase cycle, 
REACTOME_RHOBTB1_GTPASE_CYCLE,RHOBTB1 GTPase cycle, 
REACTOME_RHOBTB2_GTPASE_CYCLE,RHOBTB2 GTPase cycle, 
REACTOME_RHOBTB3_ATPASE_CYCLE,RHOBTB3 ATPase cycle, 
REACTOME_RHOBTB_GTPASE_CYCLE,RHOBTB GTPase Cycle, 
REACTOME_RHOC_GTPASE_CYCLE,RHOC GTPase cycle, 
REACTOME_RHOD_GTPASE_CYCLE,RHOD GTPase cycle, 
REACTOME_RHOF_GTPASE_CYCLE,RHOF GTPase cycle, 
REACTOME_RHOG_GTPASE_CYCLE,RHOG GTPase cycle, 
REACTOME_RHOH_GTPASE_CYCLE,RHOH GTPase cycle, 
REACTOME_RHOJ_GTPASE_CYCLE,RHOJ GTPase cycle, 
REACTOME_RHOQ_GTPASE_CYCLE,RHOQ GTPase cycle, 
REACTOME_RHOT1_GTPASE_CYCLE,RHOT1 GTPase cycle, 
REACTOME_RHOU_GTPASE_CYCLE,RHOU GTPase cycle, 
REACTOME_RHOV_GTPASE_CYCLE,RHOV GTPase cycle, 
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,RIP-mediated NFkB activation via ZBP1, 
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS,RIPK1-mediated regulated necrosis, 
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,RMTs methylate histone arginines, 
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,RNA Polymerase I Promoter Escape, 
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,RNA Polymerase I Transcription, 
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,RNA Polymerase I Transcription Initiation, 
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,RNA Polymerase I Transcription Termination, 
REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS,RNA Polymerase II Pre-transcription Events, 
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,RNA polymerase II transcribes snRNA genes, 
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,RNA Polymerase II Transcription, 
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,RNA Polymerase II Transcription Termination, 
REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION,RNA Polymerase III Chain Elongation, 
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION,RNA Polymerase III Transcription, 
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER,RNA Polymerase III Transcription Initiation From Type 1 Promoter, 
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER,RNA Polymerase III Transcription Initiation From Type 3 Promoter, 
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION,RNA Polymerase III Transcription Termination, 
REACTOME_RND1_GTPASE_CYCLE,RND1 GTPase cycle, 
REACTOME_RND2_GTPASE_CYCLE,RND2 GTPase cycle, 
REACTOME_RND3_GTPASE_CYCLE,RND3 GTPase cycle, 
REACTOME_ROBO_RECEPTORS_BIND_AKAP5,ROBO receptors bind AKAP5, 
REACTOME_ROLE_OF_ABL_IN_ROBO_SLIT_SIGNALING,Role of ABL in ROBO-SLIT signaling, 
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION,Role of LAT2/NTAL/LAB on calcium mobilization, 
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,Role of phospholipids in phagocytosis, 
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING,Role of second messengers in netrin-1 signaling, 
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION,RORA activates gene expression, 
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,ROS and RNS production in phagocytes, 
REACTOME_RRNA_MODIFICATION_IN_THE_MITOCHONDRION,rRNA modification in the mitochondrion, 
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,rRNA modification in the nucleus and cytosol, 
REACTOME_RRNA_PROCESSING,rRNA processing, 
REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION,rRNA processing in the mitochondrion, 
REACTOME_RSK_ACTIVATION,RSK activation, 
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs), 
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known, 
REACTOME_RUNX1_REGULATES_ESTROGEN_RECEPTOR_MEDIATED_TRANSCRIPTION,RUNX1 regulates estrogen receptor mediated transcription, 
REACTOME_RUNX1_REGULATES_EXPRESSION_OF_COMPONENTS_OF_TIGHT_JUNCTIONS,RUNX1 regulates expression of components of tight junctions, 
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function, 
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_BCR_SIGNALING,RUNX1 regulates transcription of genes involved in BCR signaling, 
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,RUNX1 regulates transcription of genes involved in differentiation of HSCs, 
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes, 
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS,RUNX1 regulates transcription of genes involved in differentiation of myeloid cells, 
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_INTERLEUKIN_SIGNALING,RUNX1 regulates transcription of genes involved in interleukin signaling, 
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_WNT_SIGNALING,RUNX1 regulates transcription of genes involved in WNT signaling, 
REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT,RUNX2 regulates bone development, 
REACTOME_RUNX2_REGULATES_CHONDROCYTE_MATURATION,RUNX2 regulates chondrocyte maturation, 
REACTOME_RUNX2_REGULATES_GENES_INVOLVED_IN_CELL_MIGRATION,RUNX2 regulates genes involved in cell migration, 
REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION,RUNX2 regulates osteoblast differentiation, 
REACTOME_RUNX3_REGULATES_BCL2L11_BIM_TRANSCRIPTION,RUNX3 regulates BCL2L11 (BIM) transcription, 
REACTOME_RUNX3_REGULATES_CDKN1A_TRANSCRIPTION,RUNX3 regulates CDKN1A transcription, 
REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION,RUNX3 Regulates Immune Response and Cell Migration, 
REACTOME_RUNX3_REGULATES_NOTCH_SIGNALING,RUNX3 regulates NOTCH signaling, 
REACTOME_RUNX3_REGULATES_P14_ARF,RUNX3 regulates p14-ARF, 
REACTOME_RUNX3_REGULATES_WNT_SIGNALING,RUNX3 regulates WNT signaling, 
REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION,RUNX3 regulates YAP1-mediated transcription, 
REACTOME_S_PHASE,S Phase, 
REACTOME_SARS_COV_1_INFECTION,SARS-CoV-1 Infection, 
REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES,SARS-CoV-2 activates/modulates innate and adaptive immune responses, 
REACTOME_SARS_COV_2_HOST_INTERACTIONS,SARS-CoV-2-host interactions, 
REACTOME_SARS_COV_2_INFECTION,SARS-CoV-2 Infection, 
REACTOME_SARS_COV_2_MODULATES_AUTOPHAGY,SARS-CoV-2 modulates autophagy, 
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,SARS-CoV-2 modulates host translation machinery, 
REACTOME_SARS_COV_2_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS,SARS-CoV-2 targets host intracellular signalling and regulatory pathways, 
REACTOME_SARS_COV_2_TARGETS_PDZ_PROTEINS_IN_CELL_CELL_JUNCTION,SARS-CoV-2 targets PDZ proteins in cell-cell junction, 
REACTOME_SARS_COV_INFECTIONS,SARS-CoV Infections, 
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,Scavenging by Class A Receptors, 
REACTOME_SCAVENGING_BY_CLASS_B_RECEPTORS,Scavenging by Class B Receptors, 
REACTOME_SCAVENGING_BY_CLASS_F_RECEPTORS,Scavenging by Class F Receptors, 
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,Scavenging of heme from plasma, 
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1,SCF-beta-TrCP mediated degradation of Emi1, 
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,SCF(Skp2)-mediated degradation of p27/p21, 
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III,Sealing of the nuclear envelope (NE) by ESCRT-III, 
REACTOME_SELECTIVE_AUTOPHAGY,Selective autophagy, 
REACTOME_SELENOAMINO_ACID_METABOLISM,Selenoamino acid metabolism, 
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,Sema3A PAK dependent Axon repulsion, 
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion, 
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,Sema4D in semaphorin signaling, 
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,Sema4D induced cell migration and growth-cone collapse, 
REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION,Sema4D mediated inhibition of cell attachment and migration, 
REACTOME_SEMAPHORIN_INTERACTIONS,Semaphorin interactions, 
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,Senescence-Associated Secretory Phenotype (SASP), 
REACTOME_SENSING_OF_DNA_DOUBLE_STRAND_BREAKS,Sensing of DNA Double Strand Breaks, 
REACTOME_SENSORY_PERCEPTION,Sensory Perception, 
REACTOME_SENSORY_PERCEPTION_OF_SALTY_TASTE,Sensory perception of salty taste, 
REACTOME_SENSORY_PERCEPTION_OF_TASTE,Sensory perception of taste, 
REACTOME_SENSORY_PROCESSING_OF_SOUND,Sensory processing of sound, 
REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA,Sensory processing of sound by outer hair cells of the cochlea, 
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,Separation of Sister Chromatids, 
REACTOME_SERINE_BIOSYNTHESIS,Serine biosynthesis, 
REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS,Serotonin and melatonin biosynthesis, 
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE,Serotonin Neurotransmitter Release Cycle, 
REACTOME_SEROTONIN_RECEPTORS,Serotonin receptors, 
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING,SHC1 events in EGFR signaling, 
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,SHC1 events in ERBB2 signaling, 
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,SHC1 events in ERBB4 signaling, 
REACTOME_SHC_MEDIATED_CASCADE_FGFR1,SHC-mediated cascade:FGFR1, 
REACTOME_SHC_MEDIATED_CASCADE_FGFR3,SHC-mediated cascade:FGFR3, 
REACTOME_SHC_MEDIATED_CASCADE_FGFR4,SHC-mediated cascade:FGFR4, 
